customer_id,segment,region,signup_date
C100203,Value Shopper,West,2023-10-19
C100204,Value Shopper,South,2024-10-14
C100205,Mainstream,Northeast,2023-12-11
C100206,Value Shopper,Northeast,2024-04-15
C100207,Mainstream,South,2024-12-16
C100208,Mainstream,West,2024-11-21
C100209,Premium,Midwest,2024-12-12
C100210,Value Shopper,West,2023-07-12
C100211,Premium,South,2022-12-27
C100212,Mainstream,Northeast,2023-07-04
C100213,Value Shopper,Northeast,2023-07-19
C100214,Occasional,Northeast,2024-12-28
C100215,Occasional,South,2024-05-24
C100216,Value Shopper,Northeast,2023-02-04
C100217,Value Shopper,Midwest,2023-03-21
C100218,Occasional,South,2023-04-07
C100219,Premium,South,2024-05-08
C100220,Value Shopper,Northeast,2024-08-04
C100221,Value Shopper,Midwest,2024-11-16
C100222,Mainstream,Midwest,2025-01-23
C100223,Mainstream,South,2023-05-16
C100224,Mainstream,West,2023-08-14
C100225,Mainstream,Northeast,2023-06-17
C100226,Mainstream,West,2023-09-24
C100227,Premium,South,2025-01-01
C100228,Value Shopper,South,2024-03-22
C100229,Value Shopper,South,2024-08-06
C100230,Premium,Midwest,2024-01-11
C100231,Occasional,Northeast,2022-12-22
C100232,Mainstream,South,2023-01-20
C100233,Mainstream,South,2024-02-20
C100234,Value Shopper,South,2024-07-21
C100235,Mainstream,Midwest,2023-05-27
C100236,Mainstream,West,2024-07-23
C100237,Value Shopper,South,2024-10-06
C100238,Value Shopper,Northeast,2023-11-08
C100239,Mainstream,Midwest,2024-08-13
C100240,Value Shopper,South,2023-11-01
C100241,Mainstream,South,2024-06-17
C100242,Value Shopper,Midwest,2024-08-28
C100243,Mainstream,West,2025-03-07
C100244,Value Shopper,Northeast,2023-09-13
C100245,Occasional,Midwest,2023-11-07
C100246,Mainstream,West,2023-04-15
C100247,Premium,West,2023-05-18
C100248,Premium,South,2024-06-30
C100249,Mainstream,West,2025-01-03
C100250,Value Shopper,Northeast,2023-10-24
C100251,Mainstream,West,2023-04-27
C100252,Mainstream,Midwest,2023-07-24
C100253,Premium,Northeast,2023-12-14
C100254,Mainstream,Northeast,2023-07-29
C100255,Value Shopper,Midwest,2023-06-11
C100256,Value Shopper,Northeast,2024-08-04
C100257,Mainstream,Midwest,2022-12-04
C100258,Mainstream,Northeast,2024-02-21
C100259,Mainstream,Midwest,2024-09-22
C100260,Mainstream,South,2023-07-09
C100261,Occasional,Midwest,2024-04-15
C100262,Mainstream,Midwest,2024-06-09
C100263,Value Shopper,South,2024-05-28
C100264,Value Shopper,West,2023-12-06
C100265,Value Shopper,South,2023-09-14
C100266,Value Shopper,Midwest,2024-10-27
C100267,Value Shopper,South,2024-08-23
C100268,Value Shopper,Northeast,2023-08-24
C100269,Value Shopper,Northeast,2023-02-22
C100270,Value Shopper,Midwest,2023-01-27
C100271,Occasional,West,2023-02-15
C100272,Value Shopper,Northeast,2024-03-29
C100273,Mainstream,Northeast,2023-01-10
C100274,Mainstream,Northeast,2023-09-06
C100275,Occasional,West,2024-08-19
C100276,Value Shopper,South,2023-08-01
C100277,Mainstream,Northeast,2024-08-27
C100278,Occasional,South,2024-08-12
C100279,Occasional,South,2023-06-22
C100280,Occasional,South,2024-07-29
C100281,Value Shopper,Northeast,2024-08-14
C100282,Value Shopper,West,2023-10-27
C100283,Premium,Midwest,2023-05-23
C100284,Occasional,South,2024-02-06
C100285,Mainstream,Northeast,2025-01-07
C100286,Mainstream,Midwest,2024-05-15
C100287,Value Shopper,Midwest,2023-04-21
C100288,Premium,South,2024-06-21
C100289,Value Shopper,Northeast,2023-11-20
C100290,Mainstream,South,2024-04-05
C100291,Mainstream,Northeast,2024-08-03
C100292,Mainstream,South,2024-02-01
C100293,Value Shopper,West,2024-10-09
C100294,Value Shopper,South,2024-07-24
C100295,Mainstream,South,2024-04-25
C100296,Value Shopper,South,2023-04-03
C100297,Mainstream,Midwest,2024-10-27
C100298,Value Shopper,West,2025-01-19
C100299,Mainstream,Midwest,2023-03-22
C100300,Mainstream,South,2024-01-10
C100301,Value Shopper,South,2023-07-02
C100302,Mainstream,Midwest,2024-08-20
C100303,Value Shopper,Midwest,2024-07-23
C100304,Value Shopper,Midwest,2023-03-26
C100305,Occasional,West,2024-11-30
C100306,Mainstream,West,2023-04-28
C100307,Occasional,South,2024-09-25
C100308,Value Shopper,South,2023-12-15
C100309,Premium,West,2023-08-30
C100310,Premium,Northeast,2023-04-09
C100311,Mainstream,Northeast,2023-04-17
C100312,Mainstream,South,2024-06-03
C100313,Mainstream,West,2024-03-02
C100314,Mainstream,West,2023-03-10
C100315,Occasional,Midwest,2023-03-02
C100316,Occasional,Northeast,2023-01-27
C100317,Occasional,Midwest,2024-08-11
C100318,Value Shopper,Northeast,2024-07-15
C100319,Premium,Midwest,2023-01-15
C100320,Occasional,South,2024-03-10
C100321,Value Shopper,Northeast,2023-02-06
C100322,Value Shopper,West,2024-12-23
C100323,Premium,Midwest,2024-12-26
C100324,Mainstream,South,2024-07-04
C100325,Occasional,Northeast,2025-01-11
C100326,Value Shopper,Midwest,2024-10-06
C100327,Premium,Northeast,2024-10-21
C100328,Value Shopper,West,2024-03-18
C100329,Value Shopper,West,2023-08-11
C100330,Value Shopper,Midwest,2023-05-29
C100331,Occasional,Northeast,2023-08-29
C100332,Premium,West,2024-05-06
C100333,Mainstream,Midwest,2023-04-21
C100334,Mainstream,Northeast,2023-07-02
C100335,Occasional,South,2023-12-25
C100336,Mainstream,West,2023-06-11
C100337,Occasional,Northeast,2024-04-03
C100338,Mainstream,Northeast,2025-01-08
C100339,Mainstream,West,2024-08-14
C100340,Mainstream,Northeast,2024-06-07
C100341,Mainstream,Northeast,2024-03-29
C100342,Premium,South,2024-01-09
C100343,Mainstream,West,2023-05-03
C100344,Value Shopper,Midwest,2024-12-15
C100345,Occasional,West,2023-06-24
C100346,Mainstream,South,2023-02-12
C100347,Mainstream,Northeast,2024-08-16
C100348,Occasional,West,2023-04-24
C100349,Mainstream,Midwest,2023-10-05
C100350,Value Shopper,Midwest,2022-12-21
C100351,Occasional,South,2023-03-22
C100352,Mainstream,Midwest,2023-04-22
C100353,Mainstream,Northeast,2023-01-12
C100354,Value Shopper,Northeast,2024-05-30
C100355,Premium,Midwest,2024-10-28
C100356,Mainstream,West,2023-10-06
C100357,Mainstream,South,2024-11-28
C100358,Occasional,West,2023-05-25
C100359,Premium,Midwest,2023-08-27
C100360,Value Shopper,Midwest,2023-04-03
C100361,Mainstream,Northeast,2024-04-30
C100362,Value Shopper,Northeast,2023-11-14
C100363,Premium,Midwest,2024-04-23
C100364,Value Shopper,South,2024-08-26
C100365,Mainstream,West,2024-02-27
C100366,Premium,West,2024-05-05
C100367,Occasional,Northeast,2025-01-18
C100368,Mainstream,West,2023-08-05
C100369,Occasional,Midwest,2023-09-24
C100370,Value Shopper,Northeast,2024-07-20
C100371,Occasional,West,2024-04-22
C100372,Value Shopper,South,2023-04-26
C100373,Mainstream,Northeast,2023-10-09
C100374,Premium,Midwest,2023-12-25
C100375,Value Shopper,Midwest,2023-11-14
C100376,Value Shopper,South,2023-04-26
C100377,Premium,Midwest,2025-01-09
C100378,Premium,West,2024-08-26
C100379,Mainstream,Northeast,2024-01-04
C100380,Premium,Midwest,2024-06-18
C100381,Mainstream,Midwest,2024-12-17
C100382,Value Shopper,South,2023-03-22
C100383,Mainstream,Midwest,2023-06-25
C100384,Value Shopper,South,2024-02-24
C100385,Occasional,West,2024-09-26
C100386,Mainstream,West,2022-12-28
C100387,Mainstream,West,2025-02-28
C100388,Mainstream,West,2023-12-14
C100389,Occasional,South,2023-09-25
C100390,Value Shopper,West,2023-07-31
C100391,Mainstream,Midwest,2023-04-23
C100392,Mainstream,Midwest,2024-09-20
C100393,Mainstream,Midwest,2025-02-04
C100394,Value Shopper,Midwest,2023-11-09
C100395,Occasional,Midwest,2025-02-02
C100396,Occasional,West,2024-10-17
C100397,Mainstream,Midwest,2024-01-04
C100398,Premium,Northeast,2024-06-13
C100399,Occasional,South,2023-11-27
C100400,Premium,Northeast,2024-03-09
C100401,Value Shopper,Northeast,2023-01-15
C100402,Mainstream,Northeast,2024-07-02
C100403,Mainstream,Midwest,2023-01-11
C100404,Mainstream,Midwest,2024-10-11
C100405,Premium,South,2024-10-18
C100406,Occasional,South,2023-06-14
C100407,Occasional,Midwest,2023-08-26
C100408,Mainstream,Midwest,2024-01-04
C100409,Value Shopper,Midwest,2024-04-10
C100410,Occasional,South,2023-07-26
C100411,Occasional,Northeast,2024-04-06
C100412,Value Shopper,Northeast,2023-08-04
C100413,Occasional,South,2023-01-13
C100414,Occasional,Midwest,2022-11-30
C100415,Mainstream,Northeast,2023-02-20
C100416,Mainstream,Northeast,2024-09-20
C100417,Mainstream,West,2025-02-09
C100418,Value Shopper,West,2023-11-20
C100419,Mainstream,South,2024-01-30
C100420,Occasional,Midwest,2023-03-31
C100421,Value Shopper,South,2024-03-02
C100422,Mainstream,West,2023-03-29
C100423,Mainstream,West,2024-04-22
C100424,Mainstream,Northeast,2025-01-17
C100425,Occasional,West,2023-05-10
C100426,Mainstream,Northeast,2024-08-28
C100427,Mainstream,Northeast,2022-12-17
C100428,Premium,South,2023-10-08
C100429,Mainstream,Midwest,2023-02-28
C100430,Value Shopper,West,2023-09-19
C100431,Mainstream,Northeast,2023-04-22
C100432,Value Shopper,South,2023-10-06
C100433,Value Shopper,West,2023-11-12
C100434,Mainstream,West,2023-08-06
C100435,Mainstream,Northeast,2024-05-30
C100436,Occasional,Midwest,2025-01-04
C100437,Mainstream,South,2023-10-29
C100438,Mainstream,Northeast,2023-05-08
C100439,Mainstream,West,2023-07-12
C100440,Value Shopper,West,2024-11-11
C100441,Premium,Northeast,2024-03-20
C100442,Value Shopper,Northeast,2023-12-14
C100443,Occasional,Northeast,2023-04-02
C100444,Value Shopper,West,2023-12-09
C100445,Mainstream,Northeast,2023-07-19
C100446,Value Shopper,Midwest,2025-01-25
C100447,Occasional,Midwest,2024-12-06
C100448,Mainstream,South,2023-02-06
C100449,Mainstream,Northeast,2024-02-02
C100450,Value Shopper,Northeast,2023-06-04
C100451,Premium,West,2023-11-07
C100452,Value Shopper,West,2024-11-30
C100453,Occasional,South,2024-02-12
C100454,Value Shopper,Northeast,2023-09-04
C100455,Value Shopper,Midwest,2023-05-21
C100456,Value Shopper,South,2024-09-27
C100457,Mainstream,Northeast,2024-05-03
C100458,Mainstream,West,2023-12-25
C100459,Value Shopper,South,2023-05-29
C100460,Premium,Northeast,2023-09-04
C100461,Mainstream,West,2025-02-08
C100462,Mainstream,West,2024-02-05
C100463,Mainstream,Northeast,2023-10-29
C100464,Mainstream,South,2024-02-06
C100465,Mainstream,Midwest,2024-09-09
C100466,Value Shopper,Midwest,2023-09-09
C100467,Value Shopper,Northeast,2023-04-26
C100468,Occasional,South,2024-03-31
C100469,Occasional,West,2024-06-06
C100470,Mainstream,South,2024-07-16
C100471,Value Shopper,Northeast,2024-12-05
C100472,Mainstream,South,2023-10-05
C100473,Mainstream,Midwest,2023-01-30
C100474,Value Shopper,West,2025-02-07
C100475,Value Shopper,Midwest,2023-11-27
C100476,Premium,Northeast,2024-05-02
C100477,Premium,Northeast,2024-06-07
C100478,Value Shopper,South,2024-02-27
C100479,Value Shopper,Northeast,2023-05-19
C100480,Value Shopper,South,2024-08-20
C100481,Premium,Northeast,2024-09-30
C100482,Value Shopper,Midwest,2024-03-04
C100483,Value Shopper,Midwest,2024-01-10
C100484,Premium,West,2023-03-03
C100485,Value Shopper,West,2023-02-06
C100486,Premium,Northeast,2023-09-08
C100487,Value Shopper,Midwest,2023-08-15
C100488,Value Shopper,Northeast,2025-02-03
C100489,Value Shopper,South,2024-09-13
C100490,Premium,Midwest,2024-06-02
C100491,Occasional,West,2024-02-03
C100492,Occasional,West,2023-04-17
C100493,Mainstream,Midwest,2025-02-23
C100494,Premium,Midwest,2023-10-08
C100495,Value Shopper,West,2023-02-25
C100496,Value Shopper,West,2024-01-14
C100497,Occasional,Northeast,2024-11-28
C100498,Value Shopper,Midwest,2024-12-09
C100499,Value Shopper,Midwest,2022-12-07
C100500,Value Shopper,Northeast,2024-12-08
C100501,Value Shopper,Northeast,2023-07-13
C100502,Value Shopper,Northeast,2022-12-30
C100503,Mainstream,South,2024-11-06
C100504,Mainstream,Northeast,2024-11-19
C100505,Occasional,Northeast,2024-04-09
C100506,Occasional,Northeast,2024-03-22
C100507,Mainstream,West,2024-10-08
C100508,Value Shopper,West,2024-09-15
C100509,Mainstream,Midwest,2024-12-11
C100510,Mainstream,Midwest,2024-03-04
C100511,Value Shopper,West,2025-02-14
C100512,Mainstream,Northeast,2025-03-10
C100513,Mainstream,Northeast,2023-03-05
C100514,Mainstream,Midwest,2024-11-07
C100515,Mainstream,Northeast,2024-01-19
C100516,Value Shopper,Midwest,2023-10-18
C100517,Occasional,West,2024-04-23
C100518,Premium,South,2023-01-13
C100519,Value Shopper,Midwest,2024-01-25
C100520,Occasional,West,2024-11-25
C100521,Mainstream,Northeast,2023-05-25
C100522,Occasional,Northeast,2023-11-20
C100523,Premium,South,2025-01-22
C100524,Mainstream,South,2023-11-22
C100525,Value Shopper,Northeast,2023-09-24
C100526,Value Shopper,Midwest,2023-12-02
C100527,Mainstream,South,2024-02-05
C100528,Mainstream,South,2024-05-09
C100529,Value Shopper,South,2024-09-27
C100530,Value Shopper,Midwest,2023-12-11
C100531,Occasional,Northeast,2024-10-12
C100532,Occasional,Midwest,2024-02-17
C100533,Mainstream,Northeast,2023-09-07
C100534,Value Shopper,West,2024-05-31
C100535,Value Shopper,Midwest,2024-07-20
C100536,Value Shopper,Midwest,2024-03-08
C100537,Occasional,South,2023-01-14
C100538,Value Shopper,Midwest,2023-04-19
C100539,Mainstream,Midwest,2023-07-25
C100540,Value Shopper,West,2023-07-22
C100541,Mainstream,West,2024-06-13
C100542,Premium,South,2022-12-13
C100543,Occasional,Northeast,2024-08-21
C100544,Value Shopper,South,2023-07-08
C100545,Value Shopper,South,2023-08-14
C100546,Value Shopper,Northeast,2024-02-12
C100547,Occasional,Northeast,2023-05-27
C100548,Occasional,West,2024-12-07
C100549,Mainstream,Northeast,2023-02-07
C100550,Mainstream,South,2023-12-05
C100551,Premium,Midwest,2024-11-07
C100552,Value Shopper,Midwest,2024-04-26
C100553,Occasional,Northeast,2023-07-30
C100554,Mainstream,West,2023-11-15
C100555,Mainstream,Midwest,2024-07-11
C100556,Mainstream,South,2025-02-19
C100557,Value Shopper,South,2024-12-14
C100558,Value Shopper,South,2023-09-10
C100559,Premium,West,2025-03-12
C100560,Value Shopper,South,2022-11-30
C100561,Mainstream,Midwest,2022-12-21
C100562,Value Shopper,West,2024-10-17
C100563,Mainstream,South,2023-05-14
C100564,Value Shopper,Midwest,2023-01-17
C100565,Mainstream,Northeast,2023-06-14
C100566,Premium,West,2023-11-20
C100567,Value Shopper,Midwest,2024-07-31
C100568,Mainstream,South,2024-05-03
C100569,Mainstream,Midwest,2023-06-15
C100570,Premium,Northeast,2024-01-22
C100571,Occasional,South,2025-01-11
C100572,Premium,Northeast,2024-10-09
C100573,Value Shopper,Midwest,2023-08-25
C100574,Value Shopper,South,2025-02-27
C100575,Value Shopper,Midwest,2024-07-12
C100576,Mainstream,South,2023-01-19
C100577,Value Shopper,West,2022-12-27
C100578,Mainstream,South,2023-04-18
C100579,Mainstream,Northeast,2024-07-28
C100580,Mainstream,Northeast,2023-04-30
C100581,Premium,South,2024-01-29
C100582,Value Shopper,West,2023-02-14
C100583,Value Shopper,West,2025-01-06
C100584,Premium,West,2023-09-12
C100585,Mainstream,Midwest,2024-12-27
C100586,Premium,Midwest,2025-01-26
C100587,Mainstream,Midwest,2022-12-03
C100588,Value Shopper,Northeast,2023-12-21
C100589,Occasional,Northeast,2022-12-18
C100590,Premium,West,2024-12-27
C100591,Premium,Northeast,2024-02-04
C100592,Value Shopper,Northeast,2023-01-29
C100593,Mainstream,Northeast,2023-02-28
C100594,Mainstream,West,2023-10-15
C100595,Value Shopper,South,2025-01-22
C100596,Occasional,South,2024-06-29
C100597,Value Shopper,West,2024-11-23
C100598,Occasional,Midwest,2023-10-01
C100599,Mainstream,South,2023-01-03
C100600,Value Shopper,Northeast,2025-02-20
C100601,Mainstream,Northeast,2022-12-12
C100602,Occasional,West,2025-01-29
C100603,Premium,South,2023-10-02
C100604,Occasional,Midwest,2022-12-06
C100605,Premium,Midwest,2024-06-26
C100606,Premium,South,2025-02-25
C100607,Occasional,Northeast,2025-02-13
C100608,Value Shopper,Northeast,2023-04-11
C100609,Mainstream,Northeast,2023-04-28
C100610,Value Shopper,Northeast,2024-03-14
C100611,Occasional,West,2024-05-14
C100612,Occasional,Northeast,2024-08-07
C100613,Value Shopper,Northeast,2023-04-28
C100614,Premium,South,2025-02-07
C100615,Occasional,West,2024-05-15
C100616,Value Shopper,Northeast,2024-11-05
C100617,Mainstream,Northeast,2024-02-22
C100618,Occasional,Midwest,2023-11-10
C100619,Value Shopper,South,2025-02-22
C100620,Premium,South,2024-03-28
C100621,Value Shopper,West,2024-11-22
C100622,Occasional,West,2025-02-02
C100623,Occasional,South,2024-06-14
C100624,Occasional,South,2024-03-01
C100625,Mainstream,Midwest,2022-11-30
C100626,Occasional,Northeast,2022-12-31
C100627,Occasional,West,2023-05-15
C100628,Mainstream,Midwest,2023-05-02
C100629,Occasional,Northeast,2023-06-29
C100630,Value Shopper,South,2023-08-10
C100631,Mainstream,Midwest,2023-09-25
C100632,Value Shopper,South,2023-11-15
C100633,Value Shopper,South,2023-02-18
C100634,Value Shopper,Midwest,2023-01-02
C100635,Premium,West,2024-06-13
C100636,Mainstream,Northeast,2024-02-20
C100637,Premium,Midwest,2023-12-05
C100638,Value Shopper,South,2024-05-11
C100639,Mainstream,South,2024-10-20
C100640,Mainstream,South,2023-11-21
C100641,Premium,Midwest,2024-05-17
C100642,Mainstream,South,2025-02-03
C100643,Mainstream,Northeast,2024-10-30
C100644,Occasional,West,2023-11-19
C100645,Mainstream,Midwest,2024-05-20
C100646,Value Shopper,South,2023-04-25
C100647,Value Shopper,Northeast,2024-03-10
C100648,Occasional,Northeast,2025-02-26
C100649,Value Shopper,Midwest,2024-02-04
C100650,Occasional,West,2025-01-12
C100651,Mainstream,South,2023-11-04
C100652,Occasional,West,2025-03-13
C100653,Premium,Midwest,2024-03-26
C100654,Occasional,Midwest,2023-01-02
C100655,Mainstream,Northeast,2024-04-01
C100656,Premium,West,2023-07-16
C100657,Mainstream,Northeast,2022-12-25
C100658,Mainstream,West,2024-10-14
C100659,Mainstream,West,2023-07-17
C100660,Occasional,West,2024-09-24
C100661,Occasional,South,2023-07-27
C100662,Premium,South,2023-05-09
C100663,Mainstream,South,2025-02-20
C100664,Mainstream,Northeast,2023-09-27
C100665,Premium,South,2024-04-13
C100666,Value Shopper,Northeast,2024-04-21
C100667,Value Shopper,Midwest,2024-03-10
C100668,Mainstream,Northeast,2025-01-01
C100669,Value Shopper,Northeast,2024-06-14
C100670,Value Shopper,Midwest,2023-11-01
C100671,Value Shopper,Midwest,2024-11-18
C100672,Value Shopper,South,2023-04-28
C100673,Value Shopper,Northeast,2024-02-26
C100674,Occasional,South,2025-01-31
C100675,Mainstream,Northeast,2024-05-04
C100676,Mainstream,South,2024-10-11
C100677,Premium,South,2024-05-27
C100678,Value Shopper,South,2024-10-30
C100679,Occasional,South,2025-01-26
C100680,Premium,Midwest,2023-07-14
C100681,Value Shopper,South,2023-04-19
C100682,Mainstream,Midwest,2024-01-06
C100683,Occasional,Midwest,2024-07-07
