product_id,category,product_name,list_price,unit_cost,elasticity
P1100,Home & Kitchen,Home Item 1,97.43,69.57,-1.8
P1101,Home & Kitchen,Home Item 2,64.18,35.66,-1.8
P1102,Home & Kitchen,Home Item 3,31.48,15.5,-1.8
P1103,Home & Kitchen,Home Item 4,12.67,7.71,-1.8
P1104,Home & Kitchen,Home Item 5,81.0,43.95,-1.8
P1105,Home & Kitchen,Home Item 6,116.33,69.15,-1.8
P1106,Home & Kitchen,Home Item 7,116.0,60.65,-1.8
P1107,Home & Kitchen,Home Item 8,52.36,31.24,-1.8
P1108,Home & Kitchen,Home Item 9,103.63,51.24,-1.8
P1109,Home & Kitchen,Home Item 10,71.25,36.99,-1.8
P1110,Home & Kitchen,Home Item 11,112.98,66.41,-1.8
P1111,Home & Kitchen,Home Item 12,20.69,13.57,-1.8
P1112,Home & Kitchen,Home Item 13,77.65,47.63,-1.8
P1113,Home & Kitchen,Home Item 14,91.48,50.6,-1.8
P1114,Home & Kitchen,Home Item 15,86.67,42.68,-1.8
P1115,Home & Kitchen,Home Item 16,42.3,26.77,-1.8
P1116,Home & Kitchen,Home Item 17,99.03,56.28,-1.8
P1117,Home & Kitchen,Home Item 18,110.46,62.46,-1.8
P1118,Home & Kitchen,Home Item 19,66.25,42.15,-1.8
P1119,Home & Kitchen,Home Item 20,81.5,44.86,-1.8
P1120,Home & Kitchen,Home Item 21,87.22,49.19,-1.8
P1121,Home & Kitchen,Home Item 22,47.18,26.45,-1.8
P1122,Home & Kitchen,Home Item 23,51.31,28.73,-1.8
P1123,Home & Kitchen,Home Item 24,13.95,6.96,-1.8
P1124,Home & Kitchen,Home Item 25,61.22,27.1,-1.8
P1125,Home & Kitchen,Home Item 26,74.99,42.85,-1.8
P1126,Home & Kitchen,Home Item 27,13.36,6.63,-1.8
P1127,Home & Kitchen,Home Item 28,67.45,35.74,-1.8
P1128,Home & Kitchen,Home Item 29,94.7,55.21,-1.8
P1129,Home & Kitchen,Home Item 30,19.39,9.19,-1.8
P1130,Health & Beauty,Health Item 1,7.07,3.98,-1.4
P1131,Health & Beauty,Health Item 2,30.5,16.18,-1.4
P1132,Health & Beauty,Health Item 3,34.04,14.33,-1.4
P1133,Health & Beauty,Health Item 4,17.92,8.0,-1.4
P1134,Health & Beauty,Health Item 5,36.81,14.48,-1.4
P1135,Health & Beauty,Health Item 6,8.14,2.6,-1.4
P1136,Health & Beauty,Health Item 7,6.01,2.25,-1.4
P1137,Health & Beauty,Health Item 8,11.93,6.2,-1.4
P1138,Health & Beauty,Health Item 9,11.26,4.94,-1.4
P1139,Health & Beauty,Health Item 10,33.58,10.86,-1.4
P1140,Health & Beauty,Health Item 11,31.41,13.9,-1.4
P1141,Health & Beauty,Health Item 12,29.47,15.3,-1.4
P1142,Health & Beauty,Health Item 13,21.78,8.19,-1.4
P1143,Health & Beauty,Health Item 14,35.31,12.12,-1.4
P1144,Health & Beauty,Health Item 15,5.58,2.26,-1.4
P1145,Health & Beauty,Health Item 16,8.91,4.74,-1.4
P1146,Health & Beauty,Health Item 17,24.66,8.44,-1.4
P1147,Health & Beauty,Health Item 18,22.35,9.25,-1.4
P1148,Health & Beauty,Health Item 19,20.94,10.73,-1.4
P1149,Health & Beauty,Health Item 20,6.81,3.4,-1.4
P1150,Health & Beauty,Health Item 21,19.98,8.46,-1.4
P1151,Health & Beauty,Health Item 22,39.26,22.02,-1.4
P1152,Health & Beauty,Health Item 23,31.35,12.79,-1.4
P1153,Health & Beauty,Health Item 24,28.43,12.04,-1.4
P1154,Health & Beauty,Health Item 25,42.61,13.05,-1.4
P1155,Health & Beauty,Health Item 26,30.73,15.27,-1.4
P1156,Health & Beauty,Health Item 27,23.33,10.76,-1.4
P1157,Health & Beauty,Health Item 28,20.44,8.67,-1.4
P1158,Health & Beauty,Health Item 29,43.45,16.98,-1.4
P1159,Health & Beauty,Health Item 30,17.76,7.68,-1.4
